eval_loss,eval_section_accuracy,eval_section_precision,eval_section_recall,eval_section_f1,eval_avg_inference_time,eval_total_inference_time,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.3731675446033478,0.9593,0.9605,0.9593,0.9591,1e-06,0.013,61.5094,159.764,19.981,10.0
0.40009790658950806,0.9467,0.949,0.9467,0.9459,6e-06,0.0147,15.4398,160.623,20.078,10.0
